mtop: 99.8768% within the range, 0.0822% underflow, 0.04095% overflow
  [min, max]=[-9.810241046e-05, 0.0001089265996]
deltageR_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-8.021064414e-05, 8.911524685e-05]
deltaUev_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0007208135855, 0.0006603928178]
BrWelectron_FCCee161: 99.9999% within the range, 8.75e-05% underflow, 0% overflow
  [min, max]=[0.108227392, 0.1085046867]
BrWmuon_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082302959, 0.1085369263]
BrWtau_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082278929, 0.1085356302]
deltag1Z_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001902719916, 0.001280980951]
deltaKgamma_OO_FCCee240: 99.9995% within the range, 0.000525% underflow, 0% overflow
  [min, max]=[-0.002964506625, 0.002533716806]
lambdaZ_OO_FCCee240: 99.9999% within the range, 0% underflow, 6.25e-05% overflow
  [min, max]=[-0.0006936216571, 0.0008297281356]
deltageL_OO_FCCee240: 99.9991% within the range, 0% underflow, 0.000925% overflow
  [min, max]=[-9.810241046e-05, 0.0001089265996]
deltageR_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-8.021064414e-05, 8.911524685e-05]
deltaUev_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0007208135855, 0.0006603928178]
BrWelectron_FCCee240: 99.9999% within the range, 8.75e-05% underflow, 0% overflow
  [min, max]=[0.108227392, 0.1085046867]
BrWmuon_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082302959, 0.1085369263]
BrWtau_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082278929, 0.1085356302]
deltag1Z_OO_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001902719916, 0.001280980951]
deltaKgamma_OO_FCCee365: 99.9995% within the range, 0.000525% underflow, 0% overflow
  [min, max]=[-0.002964506625, 0.002533716806]
lambdaZ_OO_FCCee365: 99.9999% within the range, 0% underflow, 6.25e-05% overflow
  [min, max]=[-0.0006936216571, 0.0008297281356]
deltageL_OO_FCCee365: 99.9991% within the range, 0% underflow, 0.000925% overflow
  [min, max]=[-9.810241046e-05, 0.0001089265996]
deltageR_OO_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-8.021064414e-05, 8.911524685e-05]
deltaUev_OO_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0007208135855, 0.0006603928178]
BrWelectron_FCCee365: 99.9999% within the range, 8.75e-05% underflow, 0% overflow
  [min, max]=[0.108227392, 0.1085046867]
BrWmuon_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082302959, 0.1085369263]
BrWtau_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082278929, 0.1085356302]
gHZZeff_gicorr: 99.9998% within the range, 0.000225% underflow, 0% overflow
  [min, max]=[0.9914065146, 1.016950904]
gHWWeff_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9899827097, 1.016550839]
gHAAeff_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8991536663, 1.001210475]
deltagHZA_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.3240006056, 0.2302362806]
deltag1Z_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001902719916, 0.001280980951]
deltaKgamma_gicorr: 99.9995% within the range, 0.000525% underflow, 0% overflow
  [min, max]=[-0.002964506625, 0.002533716806]
lambdaZ_gicorr: 99.9999% within the range, 0% underflow, 6.25e-05% overflow
  [min, max]=[-0.0006936216571, 0.0008297281356]
gHGGeff_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9680179796, 1.035505507]
deltagHtt_gicorr: 100% within the range, 0% underflow, 0% overflow
