deltaUWeve_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0009452828754, 0.001037376627]
deltagZmumuL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002847296928, 0.003157727578]
deltagZmumuR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.004272908463, 0.004401465243]
deltaUWmuvmu_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001810391899, 0.001782858535]
deltagZtataL_nocorr: 99.9999% within the range, 7.5e-05% underflow, 0% overflow
  [min, max]=[-0.003279544925, 0.003407458364]
deltagZtataR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.004276955171, 0.003936807409]
deltaUWtavta_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001740483515, 0.001852801919]
deltaguL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.01122943863, 0.01008291784]
deltaguR_nocorr: 100% within the range, 0% underflow, 2.5e-05% overflow
  [min, max]=[-0.01642362474, 0.01731297703]
deltagdL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.009775880623, 0.00964020589]
deltagdR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.1578684955, 0.1622989266]
deltagbL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002845623056, 0.002912339424]
deltagbR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.02659342937, 0.0246670897]
delgZeeL_nocorr: 99.9993% within the range, 0.0007% underflow, 0% overflow
  [min, max]=[-0.0004147512513, 0.0003883037056]
delgZeeR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0003027369558, 0.0002843293036]
delUWeve_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0009452828754, 0.001037376627]
delgZmumuL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0009089378529, 0.0008195905866]
delgZmumuR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.00090650177, 0.0009338087136]
delUWmuvmu_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001810391899, 0.001782858535]
delgZtataL_nocorr: 99.9999% within the range, 0% underflow, 7.5e-05% overflow
  [min, max]=[-0.0009808545432, 0.0009440350533]
delgZtataR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0009073335221, 0.000835166892]
delUWtavta_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001740483515, 0.001852801919]
delguL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.004026499327, 0.003615442249]
delguR_nocorr: 100% within the range, 2.5e-05% underflow, 0% overflow
  [min, max]=[-0.002448577678, 0.002322861306]
delgdL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.004138399663, 0.00419662888]
delgdR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.01116389517, 0.01147720514]
delgbL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001250215074, 0.001221582126]
